"Dir1","dir2","price","m2","dorm","banios","estac","adicional","concepto","descr"
"Av. general salaverry, san isidro","San Isidro, Lima",8106,232,3,4,4,1,"Mantenimiento","Av. General Salaverry, San Isidro. Alquiler de amplios y lujosos departamentos de 232 m2, diseñado por el Arq. Mario Lara, ubicado en San Isidro incluye (4) cuatro estacionamientos, (3) tres habitaciones cada una con su baño independiente adicional al de visita y servicio, terraza, cortinas eléctricas, ascensor directo al departamento y un ascensor de ingreso al area de servicio, aire acondicionado central, mamaparas y ventanas con vidrio insonoro, piso machimbrado de madera y excelentes acabados. Adicionalmente, cuenta con línea blanca que consta de lavadora (1), secadora (1), cocina integral y nevera (1), todos los equipos son de la línea Monogram de General Electric, el sistema de iluminación es de la empresa Trazzo. Contacto. Jessica Tapia. 9. 7. 5. 1. 8. 9. 9. 5. 5. Pn mnvcs Ver datos"
"Libertadores 775, San Isidro","San Isidro, Lima",3600,93,2,2,1,60,"Mantenimiento","Alquilamos este departamento completamente amoblado y equipado, totalmente remodelado, decorado con muy buen gusto. Cuenta con 2 habitaciones, cada una con una cama queen y sus closets, es amplio y muy iluminado, además de contar con cochera. El edificio tiene 16 departamentos en total, y está ubicado en una linda zona, con ciclovía, cerca a avenidas principales, al límite con Miraflores, tiene super mercados cerca y un sin fin de restaurantes a la mano. El trato es 2 x 1 (Dos meses de garantía por un mes de adelanto), para mayor información o agendar una visita, comunicarse con el número o correo de contacto."
"Ca. Los Helechos N","Monterrico, Santiago de Surco",3500,216,3,2,1,360,"Mantenimiento","Amplio Duplex en Alquiler Sin Muebles, ubicado en Calle Los Helechos frente a Parque Privado, a pocos minutos del Colegio San José de Monterrico, upc, Esan, Universidad de Piura, Museo de Oro, a 3 cuadras del cc El Polo y a 4 cuadras del cc de Monterrico, Vivanda. Se encuentra en el piso 3 de un edificio de solo Tres pisos, con escaleras. Dos departamentos por Piso. Total área ocupada en los Dos Niveles es de 216 m2. Primer Nivel: 107 mts. Sala, comedor, Baño de visita, Escritorio, Cocina con muebles altos y bajos en madera, Dormitorio principal con baño incorporado, otros 2 dormitorios comparten baño. Segundo Nivel: 109 mts. Dos amplias Terrazas, cuarto de servicio, baño servicio, lavandería, depósito. 1 cochera. Solo se permite mascota pequeña; de preferencia gato. Alquiler . 3, 500 soles. Mantenimiento Edificio . 200 soles. Mantenimiento Condominio . 160 soles. Seguridad 24 horas. 2 meses de Depósito y 1 mes Adelantado. Importante para solicitar informes y visitas: Nombre completo y nro. De dni de cada visitante. Contáctenos al 9. 3. 9. 1. 3. 2. 0. 8. 3."
"Jirón Centenario 179, Barranco, Lima","Barranco, Barranco",3470,87,1,1,1,300,"Mantenimiento","**alquiler** Área: 87 m2. Precio de alquiler: usd $900. Piso: 5. Vigilancia 24 horas. Mantenimiento . 300. - 1 Dormitorio. - Cocina. - Comedor. - 1 Baño. - Sala. - Amoblado. - Área de Lavandería. - Piscina. - Gimnasio. - Áreas comunes. - Condiciones: 1 año mínimo 2x1. * Requisitos: - Dni Vigente. - Estar bien en Infocorp. - Últimas 3 boletas de pago. * Requisitos persona jurídica: - Ficha Ruc. - Dni representante legal. - Estar bien en infocorp. - Reporte tributario. - pdt Anual. Antigüedad: 2014. Contáctanos o déjanos tu WhatsApp para más información."
"Plaza Padre Constancio Bollar, San Isidro, Lima","San Isidro, Lima",2500,48,1,1,1,200,"Mantenimiento","Alquiler de Moderno departamento amoblado y equipado de 48 m2, cuenta con cocina abierta tipo americana, reposteros altos y bajos. Balcón, Sala/ Comedor. Dormitorio master. Un Baño y 1 estacionamiento. El edificio ofrece hermosas áreas comunes tales como: Lobby, Game Zone, Gym, Grilland Lounge, Piscina, Lavandería y Sala Bar. Ubicado: A las adyacencias del colegio Pamer y a media cuadra de la plaza Constancio Bollar. Cerca de bancos, centros de trabajo, restaurantes y bares, comercios y centros de cultura. Tiene vista interna, se encuentra en piso 7. Precio a tratar!"
"Plaza Constancio Bollar Esq. Con Av. Arequipa , San Isidro, Lima","San Isidro, Lima",2400,61,2,2,NA,230,"Mantenimiento","Busca vivir con estilo, elegancia y exclusividad? En este edificio por su ubicación estrategica, tiene una excelente accesibilidad a las Avenidas más importantes de Lima, como la Av. Javier Prado y la Av. Arequipa. Rápido acceso a medios de transporte, además de cercanía al centro financiero de Lima, zara. Ripley, saga, tottus, plaza vea, farmacia, restaurantes. Departamento de dos dormitorios. Sala Comedor Kitchenet. Área de lavadora. Balcón. Vista a Av. Arequipa. Dos baños completos. Semi amoblado. Áreas sociales: Piscina Jacuzzi. Sala Bar. Área de parrilla. Gimnasio. Área de Yoga. Mesa de Billar. Mesa de Pocker. Lobby. Seguridad las 24 horas. Alquiler 2, 400. sin estacionamiento (Podemos contactar para alquiler) L A R O S A R E A L T Y P E R U"
"Avenida Tomas Marsano 368, Surquillo, Urbanización Lotizacion  aeropuerto, Lima","Villa Victoria, Surquillo",3000,80,3,2,1,300,"Mantenimiento","**alquiler** Área: 80 m2. Precio de alquiler: . 3, 000 negociables. Edificio con 20 pisos. Vigilancia 24 horas. Mantenimiento . 300 incluye agua. - Sala. - Comedor. - Cocina. - Balcón. - Lavandería. - 2 Baños. - 1 Dormitorio principal con balcón  Walk in closet. - 2 Dormitorios con closet. - 1 Estacionamiento  Depósito. - Hay gas natural. - Se aceptan mascotas. Tiene áreas comunes: - Piscina. - 4 zonas de parrilla. - Guardería. - Gimnasio. - Sala de reuniones. * Requisitos: - Dni Vigente. - Estar bien en Infocorp. - Últimas 3 boletas de pago. * Requisitos persona jurídica: - Ficha Ruc. - Dni representante legal. - Estar bien en infocorp. - Reporte tributario. - pdt Anual. Contáctanos o déjanos tu WhatsApp para más información."
"Rivera navarrete","Lince, Lima",2500,68,2,2,1,250,"Mantenimiento","Alquiler dpto de estreno en lince limite con san isidro. Se alquila departamento de estreno en Lince límite con San Isidro, a minutos del Centro Financiero. Calle Rivera Navarrete. Piso 11 vista externa. Precio: 2500 soles 2x1. Mant. : 250 soles aprox. Área: 68m2. Descripción: - 2 Habitación (ambas con closet y la principal con baño privado) - 2 Baños completos. - Sala comedor con pequeño balcón. - Cocina con muebles altos y bajos (incluye encimera, horno, campana) - Zona de lavandería (c/terma) - 1 estacionamiento. Áreas comunes: Gym, Piscina, sala de juegos, área de parrilla, Coworking, sala de usos múltiples. Seguridad 24/7, edificio rodeado de parques."
"AV. VILLARAN","Calera, Surquillo",1750,40,1,1,NA,110,"Mantenimiento","Alquilo departamento en piso 5 con ascensor, ubicado en la calera, A 3 cuadras de la av. Principal, cerca A la av. Aviacion, Y A la av villaran. cerca al centro comercial open plaza de angamos Y al centro comercial de la aurora -miraflores. departamento amoblado Y equipado con 1 dormitorio, sala comedor, cocina equipada con encimera A gas, extractora, horno microondas, reposteros altos Y bajos, lavanderia con lavatorio Y terma electrica. El dormitorio tiene closet 2 closet, tiene una cama de 2 plazas Y colchon, 2 veladores, un escritorio con su silla, un televisor, cuenta con ventana. Baño con lavatorio, espejo, inodoro Y ducha. El departamento esta bien iluminado Y ventilado ya que todos los ambientes tienen ventana amplias. Es nuevo. Mantenimiento 110 soles. precio negociable. contactarse 9. 8. 7. 3. 4. 1. 0. 2. 5"
"AV. BENAVIDES","Aurora, Miraflores",3400,180,3,3,1,350,"Mantenimiento","Departamento ubicado frente A wong de benavides Y al colegio carmelitas. cerca A wong de la aurora -miraflores. esta ubicado al costado del parque augusto leguia en miraflores. departamento amoblado Y equipado con amplios 3 dormitorios. Ubicado en el piso 3 con ascensor. una amplia sala comedor con vista A la calle completamente amoblado, 3 dormitorios amplios Y grandes, todos con camas Y closets. El dormitorio principal es grande tiene vista A la calle, baño con tina con hidromasajes, amplio closet de pared A pared. Lavatorio con marmol. el segundo dormitorio es amplio con vista A la calle, tiene closet Y comparte baño con el tercer dormitorio. El tercer dormitorio es amplio con vista A la calle, tiene closet Y comparte baño con el otro dormitorio. Cocina: amplia cocina con puerta independiente de la sala, equipado con cocina A gas de 4 hornillas Y horno, refrigeradora, licuadora, microondas, etc. , reposteros altos Y bajos, lavadero Y tiene un comedor de diario. dormitorio de servicio: amplio dormitorio de servicio con cama, closet Y baño con ducha. Lavanderia: terma electrica de 80 litros, lavadora Y secadora, tendal. Ademas cuenta con lavadero con grifo. Un estacionamiento techado en el primer piso. Contactarse 9. 8. 7. 3. 4. 1. 0. 2. 5"
"Calle Augusto Tamayo 330 Barranco","Barranco, Lima",1800,40,1,1,NA,1,"Mantenimiento","Alquilo departamento de estreno en Calle Augusto Tamayo 330 Barranco. Departamentos disponibles en segundo, tercero y cuarto piso (Sin ascensor) Acabados de primera. el edificio esta a una cuadra de la estación del Metropolitano Union. El edificio cuenta con video vigilancia y cerco eléctrico. Se aceptan mascotas. 40 m2. 1 dormitorio. Rollers en todas las ventanas. Sala comedor. Cocina abierta (cocina, horno, reposteros altos y bajos) Lavandería. 1 baño. Alquiler s/. 1800. 1 mes de garantia  1 mes de adelanto. Incluye mantenimiento de áreas comunes e internet. Agua, luz y arbitrios (aparte)"
"Jr. Huiracocha 2389","Jesús María, Lima",2700,80,2,2,NA,270,"Mantenimiento","Un depa equipado A tu medida…, frente a upc sede San Isidro (fotos reales) •área: 80m2 Altura: 2. 40 m Piso: 20 penthaouse. •distribucion: 2Dormitorios, 2Baño completos, kitchenette, Sala comedor, balcón. •acabados: Baños con tableros de mármol y porcelanato. Cocinas termo-laminadas con tablero de granito, porcelanato y equipadas con líneas de gas(gn/glp) con encimera a gas, horno eléctrico y campana extractora marca fdv, refrigeradora, horno microondas, lavadora, terma, 2 modernos ascensores en edificio. •servicios: Completos con medidor independiente de luz, portero eléctrico, detector de humo, alarma de emergencia, Seguridad las 24 horas del día y los 7 días de la semana. •areas comunes: Elegante lobby con cámaras de seguridad y sistema contra incendios, ascensores Mitsubishi de última generación, gimnasio, sala de reuniones, sala de niños, sala de usos múltiples totalmente equipada, terraza y zona de parrillas. •ubicación: Jr. Huiracocha N°2389 Edificio Torre Salaverry 21, cruce con la Av. Salaverry (Frente a la upc, a 2 Cdras. De la Universidad del Pacífico, a una Cdra. Del Centro Comercial Real Plaza Salaverry) •alquiler: . 2700 Soles, condiciones: 2 garantía y 1 mes adelantado (2 x 1), contrato minimo por 1 ANO. mantenimiento: s/270 soles incluye el servicio de agua del inmueble. contacto: Srta. Lucy Ver datos. ventajas: buena ubicación – tipologia – acabados – funcionalidad –iluminacion – tranquilidad - comodidades. cruce con la Av. Salaverry"
"Conde de La Monclova","San Isidro, Lima",4063,120,2,2,1,430,"Mantenimiento","Excelente departamento dúplex en alquiler con línea blanca, ubicado en Conde de La Monclova, a media cuadra del Golf de San Isidro y cerca al Olivar, a una cuadra de Vivanda y muy próximo a Miguel Dasso, Ovalo Gutiérrez, bancos, restaurantes, cafés, etc. El dúplex se encuentra en piso 8, tiene vista posterior y está distribuido de la siguiente manera: primer nivel: amplia sala comedor, cocina con muebles altos y bajos, lavandería de buen tamaño, cuarto y baño de servicio. Segundo nivel: pequeño hall de distribución, 2 dormitorios grandes con closet de pared a pared -el principal tiene balcón con vista hasta el Golf-, 1 baño con ducha que comparten ambas habitaciones. 1 cochera en sótano. No mascota. Edificio con 2 ascensores, portero las 24 horas y gran salón para eventos como área común. Mantenimiento . 430. 00. - Precio us$1, 050. 00 con Línea blanca: cocina, campana extractora, refrigeradora, lavadora y secadora. - Contrato por año. - 2 x 1."
"avenida aurelio miro quesada 136","San Isidro, Lima",5200,200,3,4,2,920,"Mantenimiento","Departamento exclusivo con un área de 200 m2, ascensor directo al piso hall de recepción con baño de visita, amplia sala tipo salón con mueble bar&snack conecta mediante mampara a balcón amplio como estancia con vista directa al club el golf, cocina amplia con muebles altos y bajos tablero de granito, lavandería con doble lavadero y terma de amplia capacidad, cuarto y baño de servicio con salida a puerta de servicio y ascensor de servicio, amplio dormitorio principal con walking closet, vista al golf y baño propio, dos dormitorios secundarios con closet y cajoneria y un baño que comparten: 2 estacionamientos acceso con control remoto, seguridad 24 horas, areas comunes como piscina y sala de recepción de visitas. La mejor ubicación a metros de av camino real, parque el olivar, todo tipo de comercios en av conquistadores y otros."
