"date1","year_date","month_date","reg","prov","dist","cred_direc","dep_vis","dep_aho","dep_pla","dep_tot"
2018-09-30,2018,9,"Tacna","Tacna","Coronel Gregorio Albarracín L",50409.66001,1102.45952,11845.51753,2177.66663,15125.64368
2018-09-30,2018,9,"Tacna","Tacna","Tacna",1429158.82281,161967.48496,488993.391,228175.56086,879136.43682
2018-09-30,2018,9,"Tacna","Jorge Basadre","Ilabaya",4535.27698,2703.5055,38436.5777,8534.31324,49674.39644
2018-09-30,2018,9,"Tumbes","Contralmirante Villar","Zorritos",3150.54661,0,5e-05,0,5e-05
2018-09-30,2018,9,"Tumbes","Tumbes","Tumbes",389475.90687,37343.75575,84865.67632,37846.23323,160055.6653
2018-09-30,2018,9,"Tumbes","Zarumilla","Aguas Verdes",4784.82415,1393.43802,13828.28638,2490.63817,17712.36257
2020-01-31,2020,1,"Amazonas","Bagua","Bagua",50318.23682,3150.43493,21152.85753,2509.56293,26812.85539
2020-01-31,2020,1,"Amazonas","Chachapoyas","Chachapoyas",107630.82438,26986.74318,41731.24314,6196.75862,74914.74494
2020-01-31,2020,1,"Amazonas","Utcubamba","Bagua Grande",123173.58807,16705.88021,31062.59904,4463.0674,52231.54665
2020-01-31,2020,1,"Amazonas","Bongara","Jazán",12673.30362,0,530.38265,202.21621,732.59886
2020-01-31,2020,1,"Ancash","Casma","Casma",68688.3963,6603.60449,33240.14713,7743.37774,47587.12936
2020-01-31,2020,1,"Ancash","Huaraz","Huaraz",1046126.42476,109688.87149,359363.73354,206538.96992,675591.57495
2020-01-31,2020,1,"Ancash","Huaraz","Independencia",4879.9083,0,1817.79307,3449.97829,5267.77136
2020-01-31,2020,1,"Ancash","Huarmey","Huarmey",16085.66458,162.27429,2995.50341,1933.97425,5091.75195
2020-01-31,2020,1,"Ancash","Huaylas","Caraz",55832.56017,2842.25437,29345.06322,11416.92649,43604.24408
2020-01-31,2020,1,"Ancash","Santa","Chimbote",1441155.34469,191423.78207,506365.55049,339043.91744,1036833.25
2020-01-31,2020,1,"Ancash","Santa","Nuevo Chimbote",155446.72978,13012.88339,46292.846,29932.28954,89238.01893
2020-01-31,2020,1,"Ancash","Santa","Santa",32995.98028,0,2042.07077,1300.84764,3342.91841
2020-01-31,2020,1,"Ancash","Santa","Nepeña",11363.15634,0,15.82437,0,15.82437
2020-01-31,2020,1,"Ancash","Huari","Huari",16460.78224,0,457.67547,798.81224,1256.48771
2020-01-31,2020,1,"Ancash","Huari","San Marcos",5309.54666,0,0.03501,0,0.03501
2020-01-31,2020,1,"Ancash","Carhuaz","Carhuaz",30935.816,7.40618,3498.66804,3389.59776,6895.67198
2020-01-31,2020,1,"Ancash","Yungay","Yungay",24189.56523,0,1294.54364,1234.34319,2528.88683
